,time,speed
1,1.89187,55.4
2,1.93408,54.2
3,1.86867,56.1
4,1.92768,54.4
5,1.91213,54.8
6,1.90768,55
7,1.8259,57.4
8,1.82113,57.6
9,1.91199,54.8
10,1.86835,56.1
11,1.85908,56.4
12,1.86269,56.3
13,1.83143,57.3
14,1.82386,57.5
15,1.87248,56
16,1.9164,54.7
17,1.88138,55.7
18,1.90414,55.1
19,1.93949,54.1
20,1.9387,54.1
21,1.92866,54.4
22,1.83293,57.2
23,1.92553,54.5
24,1.90413,55.1
25,1.85001,56.7
26,1.81777,57.7
27,1.83261,57.2
28,1.88464,55.6
29,1.90425,55.1
30,1.90943,54.9
31,1.8626,56.3
32,1.87459,55.9
33,1.87729,55.9
34,1.94369,53.9
35,1.91094,54.9
36,1.89767,55.3
37,1.92955,54.3
38,1.91715,54.7
39,1.86698,56.2
40,1.85318,56.6
41,1.82301,57.5
42,1.81764,57.7
43,1.82436,57.5
44,1.8929,55.4
45,1.89706,55.3
46,1.8749,55.9
47,1.90554,55
48,1.89157,55.4
49,1.84,57
50,1.81185,57.9
51,1.88788,55.5
52,1.91039,54.9
53,1.91608,54.7
54,1.90386,55.1
55,1.91711,54.7
56,1.9116,54.9
57,1.85065,56.7
58,1.82142,57.6
59,1.86888,56.1
60,1.92306,54.5
61,1.90457,55.1
62,1.89955,55.2
63,1.89697,55.3
64,1.87789,55.8
65,1.90475,55.1
66,1.90827,54.9
67,1.86481,56.2
68,1.87832,55.8
69,1.87733,55.9
70,1.87153,56
71,1.88452,55.6
72,1.94189,54
73,1.8533,56.6
74,1.88042,55.8
75,1.84148,56.9
76,1.85802,56.4
77,1.8333,57.2
78,1.82499,57.5
79,1.90462,55.1
80,1.88579,55.6
81,1.93519,54.2
82,1.91804,54.7
83,1.92621,54.4
84,1.91473,54.8
85,1.89859,55.2
86,1.92837,54.4
87,1.95681,53.6
88,1.96203,53.4
89,1.9622,53.4
90,1.90574,55
91,1.93628,54.2
92,1.96302,53.4
93,1.92277,54.5
94,1.91593,54.7
95,1.92776,54.4
96,1.90184,55.1
97,1.9044,55.1
98,1.94651,53.9
99,1.91351,54.8
100,1.92659,54.4
101,1.85735,56.5
102,1.92245,54.5
103,1.94164,54
104,1.86853,56.1
105,1.82184,57.6
106,1.9225,54.5
107,1.9111,54.9
108,1.89337,55.4
109,1.93285,54.3
110,1.93956,54.1
111,1.95454,53.6
112,1.94217,54
113,1.94331,54
114,1.93449,54.2
115,1.9293,54.4
116,1.92105,54.6
117,1.91687,54.7
118,1.90477,55
119,1.86421,56.2
120,1.84362,56.9
121,1.929,54.4
122,1.93466,54.2
123,1.85829,56.4
124,1.82607,57.4
125,1.92938,54.3
126,1.93331,54.2
127,1.9078,55
128,1.90349,55.1
129,1.9129,54.8
130,1.8889,55.5
131,1.89441,55.4
132,1.89992,55.2
133,1.9101,54.9
134,1.87338,56
135,1.84693,56.8
136,1.84657,56.8
137,1.87959,55.8
138,1.89086,55.5
139,1.89853,55.2
140,1.91295,54.8
141,1.83332,57.2
142,1.79532,58.4
143,1.84789,56.7
144,1.91478,54.8
145,1.92434,54.5
146,1.9219,54.6
147,1.81511,57.8
148,1.87758,55.8
149,1.83208,57.2
150,1.81009,57.9
151,1.91227,54.8
152,1.91485,54.8
153,1.87629,55.9
154,1.88014,55.8
155,1.87225,56
156,1.8883,55.5
157,1.93108,54.3
158,1.94178,54
159,1.91391,54.8
160,1.91645,54.7
161,1.84189,56.9
162,1.77933,58.9
163,1.79731,58.3
164,1.78542,58.7
165,1.80145,58.2
166,1.81023,57.9
167,1.79526,58.4
168,1.85469,56.5
169,1.88278,55.7
170,1.90622,55
171,1.88084,55.8
172,1.80683,58
173,1.81071,57.9
174,1.80775,58
175,1.82156,57.6
176,1.79947,58.3
177,1.80219,58.2
178,1.80571,58.1
179,1.77576,59
180,1.78395,58.8
181,1.77587,59
182,1.81493,57.8
183,1.79636,58.4
184,1.8853,55.6
185,1.92529,54.5
186,1.88926,55.5
187,1.91204,54.8
188,1.88922,55.5
189,1.9025,55.1
190,1.91125,54.9
191,1.90757,55
192,1.90707,55
193,1.92713,54.4
194,1.92004,54.6
195,1.88944,55.5
196,1.92638,54.4
197,1.90259,55.1
198,1.85031,56.7
199,1.81475,57.8
200,1.86713,56.2
201,1.84648,56.8
202,1.88392,55.7
203,1.89117,55.4
204,1.8691,56.1
205,1.88223,55.7
206,1.9054,55
207,1.90833,54.9
208,1.89304,55.4
209,1.87481,55.9
210,1.90371,55.1
211,1.91007,54.9
212,1.9222,54.6
213,1.8398,57
214,1.83832,57
215,1.86198,56.3
216,1.89583,55.3
217,1.87879,55.8
218,1.90685,55
219,1.90529,55
220,1.90208,55.1
221,1.90482,55
222,1.92815,54.4
223,1.91564,54.7
224,1.91859,54.7
225,1.92046,54.6
226,1.91094,54.9
227,1.90488,55
228,1.84996,56.7
229,1.86614,56.2
230,1.81598,57.7
231,1.88543,55.6
232,1.91827,54.7
233,1.89009,55.5
234,1.88353,55.7
235,1.89765,55.3
236,1.92513,54.5
237,1.88768,55.5
238,1.85393,56.6
239,1.88138,55.7
240,1.91087,54.9
241,1.91047,54.9
242,1.92309,54.5
243,1.94202,54
244,1.83297,57.2
245,1.81109,57.9
246,1.88006,55.8
247,1.92818,54.4
248,1.92229,54.5
249,1.90887,54.9
250,1.90024,55.2
